"x","px","qx"
0,0.99435,0.00565
1,0.99966,0.00034
2,0.99979,0.00021
3,0.99979,0.00021
4,0.9998,0.0002
5,0.99983,0.00017
6,0.99987,0.00013
7,0.99991,9e-005
8,0.99992,8e-005
9,0.99992,8e-005
10,0.9999,0.0001
11,0.9999,0.0001
12,0.99985,0.00015
13,0.99977,0.00023
14,0.99967,0.00033
15,0.99955,0.00045
16,0.99944,0.00056
17,0.99935,0.00065
18,0.99929,0.00071
19,0.99924,0.00076
20,0.9992,0.0008
21,0.99917,0.00083
22,0.99915,0.00085
23,0.99915,0.00085
24,0.99917,0.00083
25,0.99919,0.00081
26,0.99921,0.00079
27,0.99922,0.00078
28,0.9992,0.0008
29,0.99918,0.00082
30,0.99914,0.00086
31,0.99911,0.00089
32,0.99906,0.00094
33,0.99902,0.00098
34,0.99897,0.00103
35,0.99892,0.00108
36,0.99886,0.00114
37,0.99879,0.00121
38,0.99871,0.00129
39,0.99862,0.00138
40,0.99851,0.00149
41,0.99839,0.00161
42,0.99826,0.00174
43,0.99809,0.00191
44,0.99791,0.00209
45,0.99772,0.00228
46,0.9975,0.0025
47,0.99727,0.00273
48,0.99702,0.00298
49,0.99676,0.00324
50,0.99647,0.00353
51,0.99614,0.00386
52,0.99575,0.00425
53,0.99529,0.00471
54,0.99478,0.00522
55,0.99422,0.00578
56,0.99359,0.00641
57,0.99289,0.00711
58,0.99211,0.00789
59,0.99128,0.00872
60,0.99038,0.00962
61,0.98937,0.01063
62,0.98826,0.01174
63,0.98705,0.01295
64,0.98578,0.01422
65,0.98439,0.01561
66,0.98283,0.01717
67,0.98109,0.01891
68,0.97918,0.02082
69,0.97718,0.02282
70,0.97496,0.02504
71,0.97246,0.02754
72,0.96958,0.03042
73,0.9664,0.0336
74,0.96297,0.03703
75,0.95918,0.04082
76,0.95493,0.04507
77,0.95011,0.04989
78,0.94482,0.05518
79,0.93914,0.06086
80,0.93291,0.06709
81,0.92596,0.07404
82,0.91814,0.08186
83,0.9097,0.0903
84,0.90074,0.09926
85,0.89088,0.10912
86,0.87977,0.12023
87,0.86705,0.13295
88,0.85295,0.14705
89,0.83773,0.16227
90,0.82101,0.17899
91,0.80243,0.19757
92,0.78163,0.21837
93,0.78356,0.21644
94,0.7661,0.2339
95,0.74761,0.25239
96,0.72804,0.27196
97,0.70739,0.29261
98,0.68565,0.31435
99,0.66282,0.33718
100,0.63891,0.36109
101,0.61392,0.38608
102,0.58788,0.41212
103,0.56081,0.43919
104,0.53276,0.46724
105,0.50376,0.49624
106,0.47387,0.52613
107,0.44314,0.55686
108,0.41165,0.58835
109,0.37946,0.62054
