"x","px","qx"
0,0.99406,0.00594
1,0.99964,0.00036
2,0.99978,0.00022
3,0.99978,0.00022
4,0.99979,0.00021
5,0.99982,0.00018
6,0.99986,0.00014
7,0.99991,9e-005
8,0.99992,8e-005
9,0.99992,8e-005
10,0.99989,0.00011
11,0.99989,0.00011
12,0.99984,0.00016
13,0.99976,0.00024
14,0.99965,0.00035
15,0.99953,0.00047
16,0.99941,0.00059
17,0.99932,0.00068
18,0.99926,0.00074
19,0.9992,0.0008
20,0.99916,0.00084
21,0.99913,0.00087
22,0.99911,0.00089
23,0.99911,0.00089
24,0.99913,0.00087
25,0.99915,0.00085
26,0.99917,0.00083
27,0.99918,0.00082
28,0.99916,0.00084
29,0.99914,0.00086
30,0.9991,0.0009
31,0.99906,0.00094
32,0.99901,0.00099
33,0.99897,0.00103
34,0.99892,0.00108
35,0.99886,0.00114
36,0.9988,0.0012
37,0.99874,0.00126
38,0.99864,0.00136
39,0.99855,0.00145
40,0.99843,0.00157
41,0.99831,0.00169
42,0.99817,0.00183
43,0.99799,0.00201
44,0.9978,0.0022
45,0.9976,0.0024
46,0.99737,0.00263
47,0.99713,0.00287
48,0.99687,0.00313
49,0.99659,0.00341
50,0.9963,0.0037
51,0.99594,0.00406
52,0.99553,0.00447
53,0.99505,0.00495
54,0.99451,0.00549
55,0.99392,0.00608
56,0.99327,0.00673
57,0.99253,0.00747
58,0.99172,0.00828
59,0.99084,0.00916
60,0.9899,0.0101
61,0.98884,0.01116
62,0.98767,0.01233
63,0.98641,0.01359
64,0.98506,0.01494
65,0.9836,0.0164
66,0.98197,0.01803
67,0.98014,0.01986
68,0.97815,0.02185
69,0.97604,0.02396
70,0.97371,0.02629
71,0.97108,0.02892
72,0.96806,0.03194
73,0.96472,0.03528
74,0.96111,0.03889
75,0.95714,0.04286
76,0.95268,0.04732
77,0.94761,0.05239
78,0.94205,0.05795
79,0.93609,0.06391
80,0.92956,0.07044
81,0.92226,0.07774
82,0.91404,0.08596
83,0.90518,0.09482
84,0.89578,0.10422
85,0.88542,0.11458
86,0.87377,0.12623
87,0.86041,0.13959
88,0.8456,0.1544
89,0.82962,0.17038
90,0.81207,0.18793
91,0.79255,0.20745
92,0.77071,0.22929
93,0.77274,0.22726
94,0.75441,0.24559
95,0.73499,0.26501
96,0.71444,0.28556
97,0.69276,0.30724
98,0.66993,0.33007
99,0.64597,0.35403
100,0.62086,0.37914
101,0.59461,0.40539
102,0.56727,0.43273
103,0.53885,0.46115
104,0.50939,0.49061
105,0.47894,0.52106
106,0.44756,0.55244
107,0.4153,0.5847
108,0.38223,0.61777
109,0.34844,0.65156
