"x","px","qx"
0,0.99423,0.00577
1,0.99965,0.00035
2,0.99979,0.00021
3,0.99979,0.00021
4,0.9998,0.0002
5,0.99983,0.00017
6,0.99987,0.00013
7,0.99991,9e-005
8,0.99992,8e-005
9,0.99992,8e-005
10,0.9999,0.0001
11,0.9999,0.0001
12,0.99985,0.00015
13,0.99977,0.00023
14,0.99966,0.00034
15,0.99955,0.00046
16,0.99943,0.00057
17,0.99934,0.00066
18,0.99928,0.00072
19,0.99922,0.00078
20,0.99918,0.00082
21,0.99915,0.00085
22,0.99913,0.00087
23,0.99913,0.00087
24,0.99915,0.00085
25,0.99917,0.00083
26,0.99919,0.00081
27,0.9992,0.0008
28,0.99918,0.00082
29,0.99916,0.00084
30,0.99912,0.00088
31,0.99909,0.00091
32,0.99904,0.00096
33,0.999,0.001
34,0.99895,0.00105
35,0.9989,0.0011
36,0.99884,0.00116
37,0.99877,0.00123
38,0.99868,0.00132
39,0.99859,0.00141
40,0.99848,0.00152
41,0.99836,0.00164
42,0.99822,0.00178
43,0.99805,0.00195
44,0.99787,0.00213
45,0.99767,0.00233
46,0.99745,0.00255
47,0.99721,0.00279
48,0.99696,0.00304
49,0.99669,0.00331
50,0.9964,0.0036
51,0.99606,0.00394
52,0.99566,0.00434
53,0.99519,0.00481
54,0.99467,0.00533
55,0.9941,0.0059
56,0.99346,0.00654
57,0.99274,0.00726
58,0.99195,0.00805
59,0.9911,0.0089
60,0.99018,0.00982
61,0.98915,0.01085
62,0.98802,0.01198
63,0.98679,0.01321
64,0.98549,0.01451
65,0.98407,0.01593
66,0.98248,0.01752
67,0.9807,0.0193
68,0.97876,0.02124
69,0.97671,0.02329
70,0.97445,0.02555
71,0.9719,0.0281
72,0.96896,0.03104
73,0.96571,0.03429
74,0.96221,0.03779
75,0.95835,0.04165
76,0.95401,0.04599
77,0.94909,0.05091
78,0.94369,0.05631
79,0.9379,0.0621
80,0.93154,0.06846
81,0.92445,0.07555
82,0.91647,0.08353
83,0.90786,0.09214
84,0.89871,0.10129
85,0.88865,0.11135
86,0.87732,0.12268
87,0.86434,0.13566
88,0.84996,0.15005
89,0.83442,0.16558
90,0.81736,0.18264
91,0.7984,0.2016
92,0.77717,0.22283
93,0.77914,0.22086
94,0.76133,0.23867
95,0.74246,0.25754
96,0.72249,0.27751
97,0.70142,0.29858
98,0.67923,0.32077
99,0.65594,0.34406
100,0.63154,0.36846
101,0.60604,0.39396
102,0.57947,0.42053
103,0.55185,0.44815
104,0.52322,0.47678
105,0.49363,0.50637
106,0.46313,0.53687
107,0.43178,0.56822
108,0.39964,0.60036
109,0.3668,0.6332
